                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.3609,                0.82157,                 1.0508,                0.59048,                0.62208,                0.58554,                0.25802,                 2.0306,                  1.367,                 1.4613,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.358,                0.82102,                 1.0392,                0.60938,                0.61431,                 0.5917,                0.25935,                 2.0059,                 1.3705,                 1.4392,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3596,                0.81827,                 1.0686,                0.59698,                0.60653,                0.56908,                0.24673,                 2.0244,                 1.3762,                  1.459,               0.000218,               0.000218,               0.000218
                     92,                 1.3198,                0.78669,                  1.051,                0.59824,                0.60441,                0.57742,                 0.2518,                 2.0264,                 1.3734,                 1.4626,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3128,                0.76282,                 1.0496,                0.55278,                0.63919,                0.57901,                0.25489,                 2.0048,                   1.38,                 1.4489,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3093,                0.76689,                 1.0491,                0.59038,                0.62364,                0.59025,                 0.2601,                  2.019,                 1.3744,                  1.456,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2928,                0.75926,                 1.0506,                0.60123,                0.62364,                0.59327,                 0.2607,                 2.0023,                 1.3548,                  1.451,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2869,                0.74966,                 1.0483,                0.62007,                0.60155,                 0.5967,                0.26498,                 1.9918,                 1.3533,                  1.438,               0.000119,               0.000119,               0.000119
                     97,                 1.2847,                0.74547,                 1.0359,                0.60192,                0.61742,                0.59079,                0.26128,                 2.0023,                 1.3654,                 1.4461,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2767,                0.73851,                 1.0446,                0.60039,                0.62986,                0.59745,                 0.2649,                 2.0013,                 1.3518,                 1.4528,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2832,                0.73829,                   1.04,                0.61403,                0.61275,                 0.5931,                0.25896,                 2.0242,                 1.3538,                 1.4653,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2725,                 0.7345,                 1.0344,                0.59996,                0.62519,                0.59533,                   0.26,                 2.0152,                 1.3641,                  1.458,               3.98e-05,               3.98e-05,               3.98e-05
